@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.4346,-0.1895,9.8948,sitting
-0.4489,-0.1656,9.9092,sitting
-0.358,-0.1871,9.9164,sitting
-0.468,-0.2134,9.8852,sitting
-0.3101,-0.2397,9.9211,sitting
-0.4274,-0.1991,9.8876,sitting
-0.3604,-0.1943,9.8781,sitting
-0.3867,-0.1871,9.8948,sitting
-0.3532,-0.2062,9.914,sitting
-0.3699,-0.2134,9.9164,sitting
-0.3604,-0.2732,9.9283,sitting
-0.535,-0.1847,9.8829,sitting
-0.3029,-0.2062,9.9116,sitting
-0.4704,-0.168,9.8876,sitting
-0.3652,-0.3378,9.9068,sitting
-0.1139,-0.101,9.5359,sitting
-0.7983,-0.1823,9.8254,sitting
-0.3532,-0.3498,9.8805,sitting
-0.4537,-0.2924,9.9881,sitting
-0.6403,-0.2302,9.9283,sitting
-0.2024,-0.1943,10.1317,sitting
-0.5327,-0.1823,9.9546,sitting
-0.4274,-0.3498,9.8661,sitting
-0.279,-0.2589,10.1389,sitting
-0.4992,-0.1392,9.9331,sitting
-0.559,-0.2948,9.8661,sitting
0.0416,-0.0962,10.0264,sitting
-0.693,0.0139,9.8541,sitting
-0.6021,-0.4168,9.7082,sitting
-0.3221,-0.1584,9.8159,sitting
-0.693,-0.2469,9.8876,sitting
-0.3699,-0.3809,10.0599,sitting
-0.4968,-0.1321,9.8565,sitting
-0.4106,-0.2565,9.8254,sitting
-0.2551,-0.1536,9.9594,sitting
-0.5231,-0.1392,9.902,sitting
-0.4513,-0.3307,9.8039,sitting
-0.4728,-0.2828,9.9068,sitting
-0.4776,-0.3044,9.8565,sitting
-0.2838,-0.2613,9.9355,sitting
-0.6595,-0.1345,9.9164,sitting
-0.5614,-0.1871,9.9331,sitting
-0.4178,-0.2421,9.9211,sitting
-0.4609,-0.1225,9.8757,sitting
-0.4034,-0.2206,9.8805,sitting
-0.4058,-0.0363,9.89,sitting
-0.3891,-0.211,9.9235,sitting
-0.3723,-0.211,9.9187,sitting
-0.4369,-0.1871,9.8829,sitting
-0.3508,-0.2158,9.8972,sitting
-0.3891,-0.211,9.8996,sitting
-0.3795,-0.2493,9.9283,sitting
-0.3484,-0.1057,9.9068,sitting
